stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759824,"718","New Airport Rd at McKenna Rd","",35.446838,-82.532692,0,,0,,
759825,"719","New Airport Rd at Rockwood Rd","",35.444028,-82.534308,0,,0,,
759826,"720","Terminal Dr at Asheville Regional Airport","",35.435811,-82.537747,0,,0,,
759827,"721","New Airport Rd at Fanning Bridge Rd","",35.431764,-82.5348,0,,0,,
759828,"722","New Airport Rd at Airport Park Dr","",35.436736,-82.536366,0,,0,,
759829,"723","New Airport Rd at Rockwood Rd","",35.443805,-82.534145,0,,0,,
759830,"724","New Airport Rd at McKenna Rd","",35.447156,-82.532225,0,,0,,
759831,"725","New Airport Rd at Rutledge Rd","",35.45099,-82.525925,0,,0,,
759832,"726","New Airport Rd at WalMart","",35.453969,-82.522335,0,,0,,
759833,"727","New Airport Rd at Old Shoals Rd","",35.458781,-82.517364,0,,0,,
759834,"728","Hendersonville Rd at New Airport Rd","",35.460221,-82.512227,0,,0,,
759835,"729","Hendersonville Rd at Glenn Bridge Rd","",35.466526,-82.5167,0,,0,,
759836,"730","Hendersonville Rd at Royal Pines Dr","",35.472893,-82.521715,0,,0,,
759895,"794","Hendersonville Rd at Blake Dr","",35.477381,-82.523521,0,,0,,
759837,"731","Hendersonville Rd at Linamar Entrance","",35.479979,-82.524364,0,,0,,
759838,"732","Hendersonville Rd at Long Shoals Rd","",35.484722,-82.525358,0,,0,,
759839,"733","Hendersonville Rd at Herman Ave","",35.489172,-82.523919,0,,0,,
759840,"734","Hendersonville Rd at Oak Forest Blvd","",35.490945,-82.523189,0,,0,,
759841,"735","Hendersonville Rd at Mills Gap Rd","",35.499585,-82.521491,0,,0,,
759842,"736","Hendersonville Rd at Gerber Rd","",35.502812,-82.523531,0,,0,,
759843,"737","Hendersonville Rd at KMart","",35.504844,-82.524401,0,,0,,
759844,"738","Hendersonville Rd at Turtle Creek Dr","",35.507918,-82.525599,0,,0,,
759845,"739","Hendersonville Rd at Peachtree Rd","",35.510688,-82.526312,0,,0,,
759846,"740","Hendersonville Rd at Lambert Rd","",35.513067,-82.526971,0,,0,,
759847,"741","Hendersonville Rd at Carolina Day School","",35.523647,-82.529415,0,,0,,
759848,"742","Hendersonville Rd at Ascot Point Cir","",35.529008,-82.528866,0,,0,,
759849,"743","Hendersonville Rd at Rock Hill Rd","",35.533612,-82.527755,0,,0,,
759850,"744","Hendersonville Rd at Caribou Rd","",35.536325,-82.528842,0,,0,,
759851,"745","Hendersonville Rd at Forest St","",35.541815,-82.532341,0,,0,,
759852,"746","Hendersonville Rd at Busbee Rd","",35.544014,-82.533212,0,,0,,
759853,"747","Hendersonville Rd at Jeffress Ave","",35.546087,-82.533994,0,,0,,
759854,"748","Hendersonville Rd at W Chapel Rd","",35.548747,-82.535134,0,,0,,
759855,"749","Hendersonville Rd at Vanderbilt Park Dr","",35.555205,-82.53838,0,,0,,
759856,"750","Hendersonville Rd at Irwin St","Lula St",35.563153,-82.541825,0,,0,,
759794,"688","All Souls Crescent at Angle St","",35.565978,-82.543937,0,,0,,
759858,"752","McDowell St at Saint Dunstans Rd","",35.569821,-82.54987,0,,0,,
759859,"753","McDowell St at Grindstaff Dr","",35.571924,-82.550472,0,,0,,
759860,"754","McDowell St at Mission Hospital Entrance","",35.57454,-82.550536,0,,0,,
759861,"755","McDowell St at Hospital Dr","",35.578719,-82.552251,0,,0,,
759862,"756","McDowell St at Choctaw St","",35.581888,-82.554145,0,,0,,
759863,"757","Asheland Ave at Southside Ave","Phifer St",35.585025,-82.555965,0,,0,,
759864,"758","Asheland Ave at Morgan Ave","",35.588785,-82.556332,0,,0,,
759865,"759","S French Broad Ave at Hilliard Ave","",35.590941,-82.559054,0,,0,,
759866,"760","S French Broad Ave at Aston Park Towers","",35.588422,-82.55936,0,,0,,
759867,"761","S French Broad Ave at Asheville Middle School","",35.58645,-82.559467,0,,0,,
759868,"762","S French Broad Ave at Vernell Ave","",35.58459,-82.559611,0,,0,,
759869,"763","S French Broad Ave at Bartlett St","",35.582881,-82.559718,0,,0,,
759870,"764","S French Broad Ave at Choctaw St","",35.579733,-82.559927,0,,0,,
759871,"765","S French Broad Ave at Livingston St","",35.577935,-82.560111,0,,0,,
759872,"766","Livingston St at Depot St","",35.577397,-82.562227,0,,0,,
759873,"767","Depot St at Southern St","",35.576306,-82.562171,0,,0,,
759874,"768","Depot St at Oakland Rd","",35.574919,-82.562251,0,,0,,
759875,"769","Oakland Rd at Hibernia St","",35.574613,-82.558995,0,,0,,
759876,"770","Oakland Rd at Haith Dr","",35.574285,-82.556269,0,,0,,
