aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,1.0,1411,151,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1412,P,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1413,53,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1414,75,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1415,115,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1294,29,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.71,1416,156,0,alltime,num_routes,0.714285714285714,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1417,20,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1297,81W,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1418,70,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1419,2,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.71,1420,86,0,alltime,num_routes,0.714285714285714,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1421,81,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1422,52A,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.94,1423,171,0,alltime,num_routes,0.940472883597884,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1424,165,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1425,92,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1426,125,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.94,1427,18,0,alltime,num_routes,0.940472883597884,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1428,55N,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
